Book Results on 2018.Sep.17
Accession Date (YYYYMMDD),Accession #, Title,Author,# Times Checked Out
18750129,2,"Sense, or, Saturday-night musings and thoughtful papers ","Pomeroy, Mark M. ‡q (Mark Mills), ‡d 1833-1896.",3
18740101,1,"The young converts : or, Memoirs of the three sisters, Debbie, Helen and Anna Barlow ","Smalley, J. C. ‡q (Julia C.)",2
18750129,3,"The life-line of the Lone One, or, Autobiography of the world's child.","Chase, Warren, ‡d 1813-1891",4
18750129,4,"The Odd-fellows' text-book ; an elucidation of the theory of Odd-fellowship : embracing a detail of the system in all its branches.","Donaldson, Paschal.",1
18750129,5,"The Cincinnatus.",,1
18750220,8,"The travels and researches of Alexander von Humboldt : being a condensed narrative of his journeys in the equinoctial regions of America, and in Asiatic Russia : together with analyses of his more important investigations.","MacGillivray, William, 1796-1852.",1
18750220,10,"Narrative of the United States exploring expedition during the years 1838, 1839, 1840, 1841, 1842.","Wilkes, Charles, ‡d 1798-1877.",1
18750220,11,"Narrative of the United States exploring expedition during the years 1838, 1839, 1840, 1841, 1842.","Wilkes, Charles, ‡d 1798-1877.",1
18750220,13,"Narrative of an expedition to the polar sea, in the years 1820, 1821, 1822, and 1823 : Commanded by Lieutenant, now Admiral Ferdinand Wrangell [i.e., Wrangel], of the Russian Imperial Navy.","Wrangel, Ferdinand Petrovich, Baron, ‡d 1796-1870.",1
18890401,6541,"House executive document.","United States. Congress. House.",1
18890401,6542,"Letter from the Secretary of the Treasury, transmitting estimates of appropriations required for the service of the fiscal year ending...","United States.",1
18890401,6552,"Annual report of the Director of the Mint.","United States. Bureau of the Mint.",1
18890401,6557,"The War of the Rebellion : a compilation of the official records of the Union and Confederate armies.","United States. War Dept.",1
18890501,6565,"Report of Commissioner of Fish and Fisheries.","United States Fish Commission.",1
18890928,6566,"Jane Eyre.","Brontë, Charlotte, ‡d 1816-1855.",117
18890928,6567,Zanoni.,"Lytton, Edward Bulwer Lytton,  Baron, ‡d 1803-1873.",16
18750220,15,"A memoir of the life of Peter the Great.","Barrow, John, Sir, ‡d 1764-1848.",4
18750220,16,"Life of Mary Queen of Scots.","Bell, Henry Glassford, ‡d 1803-1874.",2
18750220,17,"Life of Mary Queen of Scots.","Bell, Henry Glassford, ‡d 1803-1874.",1
18750220,18,"The life of Sir Isaac Newton.","Brewster, David, Sir, ‡d 1781-1868.",3
18750220,19,"Lives of ancient philosophers.","Fenelon, Francois de Salignac de La Mothe-, ‡d 1651-1715.",1
18750220,20,"Life and times of His late Majesty George the Fourth.","Croly, George, ‡d 1780-1860.",2
18750220,23,"Distinguished men of modern times. : In two volumes. Vol. I[-II].",,35
18750220,24,"Distinguished men of modern times. : In two volumes. Vol. I[-II].",,3
18890928,6568,"The last days of Pompeii.","Lytton, Edward Bulwer Lytton, Baron, ‡d 1803-1873.",59
18890928,6569,"Leila; or, The siege of Granada; Calderon the courtier; and The pilgrims of the Rhine.","Lytton, Edward Bulwer Lytton, Baron, ‡d 1803-1873.",17
18890928,6570,"Rienzi : the last of the Roman tribunes.","Lytton, Edward Bulwer Lytton, Baron, ‡d 1803-1873.",28
18750220,27,"The life and adventures of Bruce : the African traveller.","Head, Francis Bond, Sir, ‡d 1793-1875.",3
18750220,28,"The history of Charlemagne.","James, G.P.R.  (George Payne Rainsford), ‡d 1801?-1860.",1
18750220,29,"The history of Napoleon Buonaparte.","Lockhart, J.G. (John Gibson), ‡d 1794-1854.",3
18890928,6571,"Little Lord Fauntleroy.","Burnett, Frances Hodgson, ‡d 1849-1924.",65
18750220,30,"The life of Commodore Oliver Hazard Perry.","Mackenzie, Alexander Slidell, ‡d 1803-1848.",5
18890928,6572,"Sara Crewe; or, What happened at Miss Minchin's.","Burnett, Frances Hodgson, ‡d 1849-1924.",121
18750220,31,"The life of Commodore Oliver Hazard Perry.","Mackenzie, Alexander Slidell, ‡d 1803-1848.",1
18750220,33,"The lives of celebrated travelers.","St. John, James Augustus, ‡d 1795-1875.",1
18750220,34,"The lives of celebrated travelers.","St. John, James Augustus, 1795-1875.",41
18890928,6573,"Historic boys : their endeavors, their achievements and their times.","Brooks, Elbridge Streeter, ‡d 1846-1902.",11
18750220,35,"The life of Nelson.","Southey, Robert, ‡d 1774-1843.",5
18750220,36,"Memoir of Alexander Macomb : the major general commanding the Army of the United States.","Richards, George H.",68
18890928,6574,"A voyage in the ""Sunbeam""; our home on the ocean for eleven months.","Brassey, Annie Allnutt, baroness, ‡d 1839-1887.",17
18750220,38,"Lives of Jonathan Edwards and David Brainerd.","Jared Sparks",10
18890928,6575,"Rab and his friends : Marjorie Fleming and other papers.","Brown, John, ‡d 1810-1882.",6
18890928,6576,"The boys of '76 : a history of the battles of the revolution.","Coffin, Charles Carleton, ‡d 1823-1896.",75
18890928,6577,"All among the lighthouses : or, The cruise of the Goldenrod.","Crowninshield, Schuyler, Mrs., ‡d. 1913.",12
18890928,6578,"Life and adventures of Robinson Crusoe.","Defoe, Daniel, 1661?-1731.",76
18890928,6579,"Boots and saddles; or, Life in Dakota with General Custer.","Custer, Elizabeth Bacon, ‡d 1842-1933.",48
18890928,6580,"A little country girl.","Coolidge, Susan, ‡d 1835-1905.",169
18890928,6581,"Man and wife : a novel.","Collins, Wilkie, ‡d 1824-1889.",92
18890928,6582,"No name :  a novel.","Collins, Wilkie, ‡d 1824-1889.",41
18890928,6583,"A brave lady.","Craik, Dinah Maria Mulock, ‡d 1826-1887.",120
18890928,6584,"The isles of the Princes; or, The pleasures of Prinkipo.","Cox, Samuel Sullivan, ‡d 1824-1889.",6
18750220,37,"Lives of John Stark, Charles Brockden Brown, Richard Montgomery, and Ethan Allen.","Jared Sparks",2
18890928,6585,"In the Tennessee mountains.","Murfree, Mary Noailles, 1850-1922.",42
18750220,41,"Lives of Robert Fulton, Joseph Warren, Henry Hudson, and Father Marquette.","Jared Sparks",2
18890928,6586,"The prophet of the Great Smoky mountains.","Murfree, Mary Noailles, 1850-1922.",30
18890928,6587,"In the clouds.","Murfree, Mary Noailles, 1850-1922.",9
18890928,6588,"Hans Brinker, or The silver skates : a story of life in Holland.","Dodge, Mary Mapes, ‡d 1830-1905.",29
18890928,6589,"Donald and Dorothy.","Dodge, Mary Mapes, ‡d 1830-1905.",128
18890928,6590,"The last war trail.","Ellis, Edward Sylvester, ‡d 1840-1916.",172
18890928,6591,"The hunters of the Ozark.","Ellis, Edward Sylvester, ‡d 1840-1916.",126
18890928,6592,"The camp in the mountains.","Ellis, Edward Sylvester, ‡d 1840-1916.",150
18890928,6593,"Adam Bede : and Scenes of clerical life.","Cross, Marian Evans, ‡d 1819-1880.",16
18750220,42,"History of Europe from the commencement of the French revolution in 1789, to the restoration of the Bourbons in 1815.","Alison, Archibald, ‡c Sir, ‡d 1792-1867",1
18890928,6594,"Felix Holt, the radical.","Cross, Marian Evans, ‡d 1819-1880.",43
18890928,6595,"Middlemarch : a study of provincial life.","Cross, Marian Evans, ‡d 1819-1880.",57
18750220,46,"History of the United States from the discovery of the American continent.","Bancroft, George, ‡d 1800-1891.",23
18750220,47,"History of the United States from the discovery of the American continent.","Bancroft, George, ‡d 1800-1891.",9
18750220,49,"The history of France.","Crowe, Eyre Evans, ‡d 1799-1868.",8
18750220,50,"The history of France.","Crowe, Eyre Evans, ‡d 1799-1868.",1
18750220,51,"The history of France.","Crowe, Eyre Evans, ‡d 1799-1868.",7
18890928,6596,Beulah.,"Evans, Augusta J. (Augusta Jane), ‡d 1835-1909.",66
18750220,52,"Scandinavia, ancient and modern : being a history of Denmark, Sweden, and Norway.","Crichton, Andrew, ‡d 1790-1855.",3
18890928,6597,"St. Elmo.","Evans, Augusta J. (Augusta Jane), 1835-1909.",97
18890928,6598,"From the lakes of Killarney to the Golden Horn.","Field, Henry M. (Henry Martyn), ‡d 1822-1907.",19
18890928,6599,"Over the ocean; or, Sights and scenes in foreign lands.","Guild, Curtis, ‡d 1827-1911.",14
18890928,6600,"Abroad again, or, A fresh foray in foreign fields.","Guild, Curtis, ‡d 1827-1911.",22
18890928,6601,"Twice-told tales.","Hawthorne, Nathaniel, ‡d 1804-1864.",52
18750220,53,"Scandinavia, ancient and modern : being a history of Denmark, Sweden, and Norway.","Crichton, Andrew, ‡d 1790-1855.",1
18750220,54,"Scandinavia, ancient and modern : being a history of Denmark, Sweden, and Norway.","Crichton, Andrew, ‡d 1790-1855.",16
18750220,55,"The history of Arabia : ancient and modern.","Crichton, Andrew, ‡d 1790-1855.",33
18750220,56,"The history of Poland : from the earliest period to the present time.","Fletcher, James, ‡d 1811-1832. ",59
18750220,58,"China : a general description of that empire and its inhabitants.","Davis, John Francis, Sir, ‡d 1795-1890.",1
18890928,6602,"Our old home.","Hawthorne, Nathaniel, ‡d 1804-1864.",22
18890928,6603,"The scarlet letter.","Hawthorne, Nathaniel, ‡d 1804-1864.",95
18890928,6604,"American note books.","Hawthorne, Nathaniel, ‡d 1804-1864.",6
18890928,6605,"Marble faun.","Hawthorne, Nathaniel, ‡d 1804-1864.",44
18890928,6606,"A wonder book.","Hawthorne, Nathaniel, ‡d 1804-1864.",55
18890928,6607,"Les misérables.","Hugo, Victor, ‡d 1802-1885.",40
18890928,6608,"For the temple : a tale of the fall of Jerusalem.","Henty, G. A. (George Alfred), ‡d 1832-1902.",24
18750220,45,"History of Europe from the commencement of the French revolution in 1789, to the restoration of the Bourbons in 1815.","Alison, Archibald, ‡c Sir, ‡d 1792-1867",33
18890928,6609,"Bonnie Prince Charlie : a tale of Fontenoy and Culloden.","Henty, G. A. (George Alfred), ‡d 1832-1902.",55
18890928,6610,"Our hundred days in Europe.","Holmes, Oliver Wendell, ‡d 1809-1894.",17
18890928,6611,"Ramona : a story.","Jackson, Helen Hunt, ‡d 1830-1885.",154
18750220,60,"Mesopotamia and Assyria : from the earliest ages to the present time.","Fraser, James Baillie, 1783-1856.",1
18750220,61,"A compendious history of Italy.","Sforzosi, L. (Luigi)",1
18890928,6612,"The country doctor.","Balzac, Honoré de, ‡d 1799-1850.",27
18890928,6613,"The English governess at the Siamese court : being recollections of six years in the royal palace at Bangkok.","Leonowens, Anna Harriette, ‡d 1834-1914.",10
18890928,6615,"What's mine's mine.","MacDonald, George, ‡d 1824-1905.",51
18750220,65,"An historical and descriptive account of Iceland, Greenland, and the Faroe Islands.","Nicol, James, 1810-1879.",7
18750220,66,"The history of chivalry.","James, G. P. R. (George Payne Rainsford), 1801?-1860.",8
18750220,68,"Modern history : from the French of M. Michelet.","Michelet, Jules, 1798-1874.",2
18750220,70,"Nubia and Abyssinia : comprehending their civil history, antiquities, arts, religion, literature, and natural history.","Russell, Michael, ‡d 1781-1848.",1
18890928,6616,"The Marquis of Lossie.","MacDonald, George, ‡d 1824-1905.",21
18750220,71,"Italy and the Italian islands : from the earliest ages to the present time.","Spalding, William, ‡d 1809-1859.",1
18750220,72,"Italy and the Italian islands : from the earliest ages to the present time.","Spalding, William, ‡d 1809-1859.",1
18750220,73,"Italy and the Italian islands : from the earliest ages to the present time.","Spalding, William, ‡d 1809-1859.",2
18750220,74,"Border wars of the American Revolution.","Stone, William L. ‡q (William Leete), ‡d 1792-1844.",4
18890928,6617,"Gold Elsie.","John, Eugenie, 1825-1887.",82
18890928,6618,"The little moorland princess.","John, Eugenie, 1825-1887.",173
18890928,6619,"The old mam'selle's secret.","John, Eugenie, 1825-1887.",160
18890928,6620,"A noble life.","Craik, Dinah Maria Mulock, ‡d 1826-1887.",74
18750220,77,"The sacred history of the world : attempted to be philosophically considered, in a series of letters to a son.","Turner, Sharon, 1768-1847.",1
18890928,6621,"John Halifax, gentleman.","Craik, Dinah Maria Mulock, ‡d 1826-1887.",59
18890928,6622,"The second son : a novel.","Oliphant, ‡c Mrs. ‡q (Margaret), ‡d 1828-1897.",64
18890928,6623,"Fifth Avenue to Alaska.","Pierrepont, Edward, ‡d 1860-1885.",13
18890928,6624,"The children of the abbey : a tale.","Roche, Regina Maria, ‡d 1764?-1845.",39
18890928,6625,"Nature's serial story.","Roe, Edward Payson, ‡d 1838-1888.",15
18750220,80,"Universal history from the creation of the world to the decease of George III., 1820.","Woodhouselee, Alexander Fraser Tytler, ‡c Lord, ‡d 1747-1813.",3
18890928,6626,"Play and profit in my garden.","Roe, Edward Payson, ‡d 1838-1888.",9
18890928,6627,"My wife and I: or, Harry Henderson's history.","Stowe, Harriet Beecher, ‡d 1811-1896.",25
18750220,82,"Universal history from the creation of the world to the decease of George III., 1820.","Woodhouselee, Alexander Fraser Tytler, ‡c Lord, ‡d 1747-1813.",1
18750220,83,"Universal history from the creation of the world to the decease of George III., 1820.","Woodhouselee, Alexander Fraser Tytler, ‡c Lord, ‡d 1747-1813.",1
18890928,6628,"We and our neighbors, or, The records of an unfashionable street (Sequel to ""My wife and I"")","Stowe, Harriet Beecher, ‡d 1811-1896.",17
18750220,84,"Universal history from the creation of the world to the decease of George III., 1820.","Woodhouselee, Alexander Fraser Tytler, ‡c Lord, ‡d 1747-1813.",1
18890928,6629,"The story of Kennett.","Taylor, Bayard, ‡d 1825-1878.",32
18890928,6630,"Vanity fair : a novel without a hero.","Thackeray, William Makepeace, ‡d 1811-1863.",112
18890928,6631,"Peter Budstone : the boy who was hazed.","Trowbridge, J. T. ‡q (John Townsend), ‡d 1827-1916.",144
18890928,6632,"The story of Ireland.","Lawless, Emily, ‡d 1845-1913.",14
18890928,6633,Germany.,"Baring-Gould, S. ‡q (Sabine), ‡d 1834-1924.",10
18890928,6634,"The story of Spain.","Hale, Edward Everett, ‡d 1822-1909.",18
18750220,90,"The congressional globe.","United States. Congress.",1
18890928,6635,"The Normans : told chiefly in relation to their conquest of England.","Jewett, Sarah Orne, ‡d 1849-1909.",5
18890928,6636,"Virginia : a history of the people.","Cooke, John Esten, ‡d 1830-1886.",12
18890928,6639,"Washington Irving.","Warner, Charles Dudley, ‡d 1829-1900.",15
18890928,6641,"Ralph Waldo Emerson.","Holmes, Oliver Wendell, 1809-1894.",4
18750220,93,"An ecclesiastical history, ancient and modern : in which the rise, progress, and variations of church power, are considered in their connexion with the state of learning and philosophy, and the political history of Europe during that period.","Mosheim, Johann Lorenz, 1694?-1755.",9
18890928,6642,"Benjamin Franklin as a man of letters.","McMaster, John Bach, ‡d 1852-1932.",21
